boro,nta2010,ntaname2010,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Manhattan,MN14,Lincoln Square,598.0,1003.0,22.0,-9.0,-31.0,320.0,489.0,873.0,327.0,87.0,1321.0,9.0,232.0,-19.0,160.0,515.0,-17.0,39492,39492,43498,43498
Manhattan,MN17,Midtown-Midtown South,534.0,504.0,344.0,-21.0,80.0,-57.0,377.0,334.0,440.0,988.0,593.0,272.0,450.0,33.0,1059.0,904.0,1133.0,22080,22080,25964,25964
Manhattan,MN40,Upper East Side-Carnegie Hill,125.0,112.0,-54.0,-29.0,-67.0,-118.0,-57.0,-23.0,-62.0,-63.0,118.0,-12.0,17.0,-35.0,-3.0,-14.0,-35.0,36708,36708,36466,36466
Bronx,BX26,Highbridge,137.0,137.0,3.0,115.0,37.0,152.0,82.0,2.0,173.0,260.0,94.0,41.0,491.0,63.0,653.0,83.0,-1.0,13275,13275,14371,14371
Brooklyn,BK21,Seagate-Coney Island,66.0,68.0,-6.0,25.0,183.0,-3.0,19.0,9.0,13.0,57.0,665.0,28.0,921.0,-8.0,897.0,-9.0,258.0,12444,12444,13500,13500
Bronx,BX22,North Riverdale-Fieldston-Riverdale,14.0,19.0,4.0,5.0,35.0,3.0,6.0,130.0,3.0,17.0,4.0,8.0,100.0,56.0,237.0,134.0,40.0,12626,12626,12855,12855
Bronx,BX29,Spuyten Duyvil-Kingsbridge,3.0,4.0,13.0,166.0,34.0,-1.0,61.0,-1.0,115.0,78.0,6.0,47.0,58.0,9.0,173.0,18.0,64.0,14707,14707,15228,15228
Brooklyn,BK40,Windsor Terrace,0.0,-1.0,11.0,-2.0,-2.0,128.0,98.0,-4.0,-3.0,-1.0,18.0,26.0,17.0,-6.0,51.0,23.0,22.0,9684,9684,9953,9953
Brooklyn,BK50,Canarsie,21.0,21.0,35.0,53.0,5.0,36.0,7.0,29.0,9.0,29.0,6.0,7.0,22.0,2.0,25.0,20.0,62.0,29281,29281,29518,29518
Brooklyn,BK42,Flatbush,259.0,259.0,158.0,13.0,26.0,131.0,3.0,50.0,287.0,338.0,267.0,305.0,429.0,206.0,1002.0,127.0,130.0,38816,38816,40653,40653
Brooklyn,BK58,Flatlands,-1.0,28.0,17.0,11.0,-1.0,-2.0,-1.0,1.0,5.0,6.0,12.0,-1.0,27.0,63.0,48.0,4.0,36.0,23258,23258,23304,23304
Queens,QN45,Douglas Manor-Douglaston-Little Neck,9.0,16.0,15.0,11.0,8.0,14.0,5.0,5.0,14.0,1.0,14.0,8.0,64.0,10.0,41.0,33.0,24.0,10144,10144,10248,10248
Bronx,BX09,Soundview-Castle Hill-Clason Point-Harding Park,153.0,162.0,19.0,27.0,55.0,4.0,170.0,143.0,130.0,13.0,460.0,106.0,349.0,15.0,114.0,24.0,66.0,19589,19589,20869,20869
Brooklyn,BK37,Park Slope-Gowanus,261.0,275.0,206.0,66.0,175.0,102.0,-37.0,287.0,554.0,261.0,8.0,565.0,438.0,173.0,1034.0,307.0,37.0,32770,32770,35218,35218
Staten Island,SI11,Charleston-Richmond Valley-Tottenville,44.0,56.0,63.0,37.0,40.0,18.0,8.0,55.0,31.0,84.0,60.0,70.0,116.0,18.0,174.0,11.0,161.0,8389,8389,8899,8899
Staten Island,SI32,Rossville-Woodrow,47.0,55.0,77.0,69.0,100.0,72.0,57.0,44.0,60.0,71.0,3.0,17.0,19.0,-2.0,75.0,8.0,15.0,7694,7694,8311,8311
Manhattan,MN32,Yorkville,9.0,122.0,0.0,3.0,-4.0,-125.0,-125.0,189.0,-90.0,40.0,-67.0,27.0,383.0,-41.0,344.0,3.0,12.0,48624,48624,48481,48481
Queens,QN48,Auburndale,24.0,43.0,39.0,18.0,42.0,16.0,5.0,-6.0,10.0,4.0,17.0,9.0,15.0,19.0,34.0,28.0,12.0,7425,7425,7603,7603
Queens,QN52,East Flushing,12.0,26.0,29.0,19.0,24.0,-9.0,25.0,33.0,2.0,36.0,32.0,33.0,19.0,2.0,243.0,41.0,23.0,9131,9131,9367,9367
Bronx,BX35,Morrisania-Melrose,951.0,1021.0,208.0,-1.0,205.0,261.0,334.0,319.0,100.0,217.0,614.0,50.0,223.0,72.0,802.0,115.0,154.0,13492,13492,16750,16750
Manhattan,MN01,Marble Hill-Inwood,0.0,0.0,20.0,,0.0,28.0,-5.0,-1.0,-6.0,2.0,6.0,22.0,852.0,5.0,5.0,21.0,19.0,18903,18903,18969,18969
Manhattan,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,440.0,1685.0,310.0,108.0,1046.0,914.0,394.0,965.0,1787.0,928.0,377.0,228.0,606.0,-41.0,3483.0,336.0,801.0,46775,46775,54272,54272
Manhattan,MN23,West Village,141.0,160.0,-22.0,-125.0,-67.0,-12.0,264.0,-17.0,-144.0,52.0,58.0,69.0,179.0,-17.0,-115.0,-18.0,96.0,42810,42810,43007,43007
Manhattan,MN12,Upper West Side,229.0,225.0,45.0,258.0,88.0,-68.0,-193.0,-37.0,-24.0,164.0,-23.0,-9.0,56.0,-228.0,244.0,-119.0,248.0,74414,74414,74844,74844
Bronx,BX43,Norwood,118.0,118.0,-3.0,80.0,97.0,-5.0,-1.0,115.0,55.0,201.0,90.0,28.0,138.0,21.0,140.0,230.0,87.0,15026,15026,15801,15801
Bronx,BX05,Bedford Park-Fordham North,205.0,205.0,60.0,132.0,21.0,93.0,174.0,40.0,73.0,370.0,-28.0,478.0,297.0,106.0,1382.0,147.0,158.0,19518,19518,21136,21136
Bronx,BX40,Fordham South,43.0,43.0,1.0,1.0,-4.0,66.0,20.0,1.0,48.0,181.0,3.0,157.0,126.0,60.0,249.0,132.0,107.0,9134,9134,9651,9651
Bronx,BX41,Mount Hope,0.0,127.0,76.0,0.0,3.0,69.0,128.0,7.0,331.0,274.0,386.0,174.0,840.0,217.0,1061.0,456.0,126.0,17588,17588,19036,19036
Bronx,BX03,Eastchester-Edenwald-Baychester,31.0,38.0,24.0,8.0,28.0,29.0,13.0,27.0,16.0,37.0,9.0,16.0,42.0,-1.0,58.0,7.0,35.0,12514,12514,12752,12752
Bronx,BX13,Co-op City,59.0,58.0,98.0,13.0,2.0,0.0,183.0,34.0,1.0,-5.0,-1.0,0.0,9.0,4.0,13.0,0.0,-72.0,19590,19590,19974,19974
Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,12.0,26.0,47.0,24.0,27.0,14.0,83.0,-12.0,309.0,54.0,30.0,31.0,148.0,7.0,232.0,222.0,112.0,29707,29707,30326,30326
Staten Island,SI08,Grymes Hill-Clifton-Fox Hills,5.0,115.0,14.0,1.0,6.0,5.0,41.0,57.0,26.0,12.0,21.0,7.0,27.0,8.0,14.0,7.0,42.0,8181,8181,8376,8376
Queens,QN05,Rosedale,37.0,38.0,16.0,25.0,10.0,12.0,8.0,8.0,17.0,7.0,18.0,21.0,18.0,1.0,20.0,2.0,81.0,7964,7964,8143,8143
Staten Island,SI45,New Dorp-Midland Beach,16.0,20.0,22.0,30.0,-24.0,-2.0,16.0,8.0,-18.0,88.0,57.0,33.0,44.0,-3.0,52.0,9.0,24.0,8678,8678,8904,8904
